scenario_id,terrain_type,response_budget,gbc,red_quality,red_doctrinal_alignment,candidate_diversity,candidate_mef_spread,n_pareto_optimal
multi-domain-105,mixed,1,0.5705708626831852,0.04694214405048766,0.805,0.0,0.0,1
multi-domain-105,mixed,2,0.5166970799266318,0.2624372750767012,0.625,0.5,0.21549513102621357,2
multi-domain-105,mixed,4,0.5166970799266318,0.2624372750767012,0.625,0.725,0.21549513102621357,2
multi-domain-105,mixed,8,0.5166970799266318,0.2624372750767012,0.625,0.7339285714285715,0.21549513102621357,2
multi-domain-105,mixed,16,0.5140276039346968,0.2731151790444414,0.575,0.6919444444444439,0.22617303499395372,3
air-defense-106,air_defense,1,0.5315438389651093,0.09582464413956318,0.805,0.0,0.0,1
air-defense-106,air_defense,2,0.5315438389651093,0.09582464413956318,0.805,0.5,0.03173367972181862,2
air-defense-106,air_defense,4,0.5123581634253549,0.17256734629858034,0.625,0.6499999999999999,0.10847638188083578,3
air-defense-106,air_defense,8,0.4855634144356031,0.27974634225758777,0.665,0.661309523809524,0.21680978252819927,3
air-defense-106,air_defense,16,0.4712340889114792,0.33706364435408304,0.62,0.6390277777777772,0.31862233563323367,5
humanitarian-evacuation-107,urban_humanitarian,1,0.5286641899851234,0.08434324005950614,0.9550000000000001,0.0,0.0,1
humanitarian-evacuation-107,urban_humanitarian,2,0.5283192416290319,0.08572303348387245,0.815,0.4,0.0013797934243663101,2
humanitarian-evacuation-107,urban_humanitarian,4,0.4743005071834755,0.301797971266098,1.0,0.5111111111111112,0.21745473120659184,1
humanitarian-evacuation-107,urban_humanitarian,8,0.4743005071834755,0.301797971266098,1.0,0.5696428571428571,0.22606536229122892,1
humanitarian-evacuation-107,urban_humanitarian,16,0.4743005071834755,0.301797971266098,1.0,0.5165277777777778,0.31385931485907226,1
urban-106,urban,1,0.45318073820573,0.27479391774916156,0.59,0.0,0.0,1
urban-106,urban,2,0.45318073820573,0.27479391774916156,0.59,0.0,0.17960065463034658,2
urban-106,urban,4,0.45318073820573,0.27479391774916156,0.59,0.7777777777777778,0.19346091756808725,2
urban-106,urban,8,0.45318073820573,0.27479391774916156,0.59,0.8035714285714285,0.2355621400266791,3
urban-106,urban,16,0.45318073820573,0.27479391774916156,0.59,0.7833333333333335,0.25109612132600906,3
maritime-107,maritime,1,0.4952828766725861,0.25086849330965566,0.625,0.0,0.0,1
maritime-107,maritime,2,0.4952828766725861,0.25086849330965566,0.625,0.33333333333333337,0.05040931853121161,2
maritime-107,maritime,4,0.4952828766725861,0.25086849330965566,0.625,0.7722222222222223,0.16556326708576735,2
maritime-107,maritime,8,0.48070857359244695,0.3091657056302121,0.625,0.6744047619047618,0.24040693697495852,2
maritime-107,maritime,16,0.48070857359244695,0.3091657056302121,0.625,0.6851388888888885,0.2917466286821999,3
multi-domain-108,mixed,1,0.4763411795758823,0.25086849330965566,0.625,0.0,0.0,1
multi-domain-108,mixed,2,0.4763411795758823,0.25086849330965566,0.625,0.33333333333333337,0.05040931853121161,2
multi-domain-108,mixed,4,0.4763411795758823,0.25086849330965566,0.625,0.7722222222222223,0.16556326708576735,2
multi-domain-108,mixed,8,0.4617668764957432,0.3091657056302121,0.625,0.6744047619047618,0.24040693697495852,2
multi-domain-108,mixed,16,0.4617668764957432,0.3091657056302121,0.625,0.6851388888888885,0.2917466286821999,3
air-defense-109,air_defense,1,0.531471596935656,0.09611361225737608,0.805,0.0,0.0,1
air-defense-109,air_defense,2,0.49148785526514815,0.2560485789394074,0.85,0.6,0.15993496668203133,1
air-defense-109,air_defense,4,0.49148785526514815,0.2560485789394074,0.85,0.5388888888888889,0.22130680085079366,1
air-defense-109,air_defense,8,0.49148785526514815,0.2560485789394074,0.85,0.6297619047619047,0.22523568799686566,1
air-defense-109,air_defense,16,0.49148785526514815,0.2560485789394074,0.85,0.6238888888888887,0.22523568799686566,1
humanitarian-evacuation-110,urban_humanitarian,1,0.5382796830566138,0.04588126777354477,0.8200000000000001,0.0,0.0,1
humanitarian-evacuation-110,urban_humanitarian,2,0.48846337456137134,0.24514650175451466,0.9550000000000001,0.8333333333333334,0.1992652339809699,1
humanitarian-evacuation-110,urban_humanitarian,4,0.48846337456137134,0.24514650175451466,0.9550000000000001,0.6222222222222222,0.1992652339809699,1
humanitarian-evacuation-110,urban_humanitarian,8,0.48846337456137134,0.24514650175451466,0.9550000000000001,0.48214285714285715,0.21397853764576064,2
humanitarian-evacuation-110,urban_humanitarian,16,0.47693618640448776,0.2912552543820489,0.86,0.49972222222222235,0.2600872902732949,3
urban-109,urban,1,0.5533363439186157,0.07185497860482765,0.77,0.0,0.0,1
urban-109,urban,2,0.5075559071999677,0.25497672547941974,0.73,1.0,0.1831217468745921,2
urban-109,urban,4,0.5075559071999677,0.25497672547941974,0.73,0.7777777777777778,0.1831217468745921,2
urban-109,urban,8,0.5065824492874084,0.2588705571296571,0.59,0.761904761904762,0.2069159991463836,4
urban-109,urban,16,0.5035316950221727,0.2710735741906001,0.59,0.7625000000000003,0.297911521957867,4
maritime-110,maritime,1,0.5083688296779727,0.19852468128810902,0.62,0.0,0.0,1
maritime-110,maritime,2,0.5083688296779727,0.19852468128810902,0.62,0.33333333333333337,0.09889025962855875,2
maritime-110,maritime,4,0.5083688296779727,0.19852468128810902,0.62,0.6805555555555557,0.16505498895733273,2
maritime-110,maritime,8,0.49114632058068636,0.2674147176772545,0.62,0.6946428571428572,0.2339450253464782,2
maritime-110,maritime,16,0.49011286967427137,0.2715485213029145,0.62,0.72375,0.25747876294314215,3
multi-domain-111,mixed,1,0.5299678446301221,0.19852468128810902,0.62,0.0,0.0,1
multi-domain-111,mixed,2,0.5299678446301221,0.19852468128810902,0.62,0.33333333333333337,0.09889025962855875,2
multi-domain-111,mixed,4,0.5299678446301221,0.19852468128810902,0.62,0.6805555555555557,0.16505498895733273,2
multi-domain-111,mixed,8,0.5127453355328357,0.2674147176772545,0.62,0.6946428571428572,0.2339450253464782,2
multi-domain-111,mixed,16,0.5117118846264208,0.2715485213029145,0.62,0.72375,0.25747876294314215,3
air-defense-112,air_defense,1,0.49880587569954893,0.22677649720180432,0.62,0.0,0.0,1
air-defense-112,air_defense,2,0.4915436803279639,0.25582527868814436,0.805,0.8,0.029048781486340047,1
air-defense-112,air_defense,4,0.4826627596405439,0.2913489614378245,0.665,0.7000000000000001,0.2578792691070482,2
air-defense-112,air_defense,8,0.4826627596405439,0.2913489614378245,0.665,0.6357142857142859,0.2854645940141935,3
air-defense-112,air_defense,16,0.47719319685333583,0.3132272125866566,0.805,0.5981944444444441,0.30734284516302557,2
humanitarian-evacuation-113,urban_humanitarian,1,0.4945481382168642,0.22080744713254308,0.815,0.0,0.0,1
humanitarian-evacuation-113,urban_humanitarian,2,0.4945481382168642,0.22080744713254308,0.815,0.8,0.07696813813678294,2
humanitarian-evacuation-113,urban_humanitarian,4,0.4770642996227126,0.29074280150914966,0.775,0.6,0.14690349251338952,3
humanitarian-evacuation-113,urban_humanitarian,8,0.47094331551126756,0.31522673795492984,1.0,0.5547619047619047,0.2486007717705874,1
humanitarian-evacuation-113,urban_humanitarian,16,0.47094331551126756,0.31522673795492984,1.0,0.5797222222222221,0.2709252459194197,1
urban-112,urban,1,0.5313819611734856,0.10037587643652138,0.73,0.0,0.0,1
urban-112,urban,2,0.5313819611734856,0.10037587643652138,0.73,0.6666666666666667,0.040374687470952755,1
urban-112,urban,4,0.48459065301822163,0.28754110905757707,0.725,0.8055555555555557,0.22753992009200846,2
urban-112,urban,8,0.48459065301822163,0.28754110905757707,0.725,0.7142857142857143,0.22753992009200846,2
urban-112,urban,16,0.48459065301822163,0.28754110905757707,0.725,0.7680555555555557,0.2405530322376761,3
maritime-113,maritime,1,0.5143075815701041,0.1747696737195833,0.805,0.0,0.0,1
maritime-113,maritime,2,0.5143075815701041,0.1747696737195833,0.805,1.0,0.21092760384914946,1
maritime-113,maritime,4,0.48611472273560574,0.28754110905757707,0.575,0.763888888888889,0.3236990391871432,2
maritime-113,maritime,8,0.48611472273560574,0.28754110905757707,0.575,0.779761904761905,0.3236990391871432,3
maritime-113,maritime,16,0.4820728600402137,0.30370855983914513,0.625,0.7406944444444442,0.33986648996871127,2
multi-domain-114,mixed,1,0.5179446024005651,0.1747696737195833,0.805,0.0,0.0,1
multi-domain-114,mixed,2,0.5179446024005651,0.1747696737195833,0.805,1.0,0.21092760384914946,1
multi-domain-114,mixed,4,0.48975174356606666,0.28754110905757707,0.575,0.763888888888889,0.3236990391871432,2
multi-domain-114,mixed,8,0.48975174356606666,0.28754110905757707,0.575,0.779761904761905,0.3236990391871432,3
multi-domain-114,mixed,16,0.4857098808706746,0.30370855983914513,0.625,0.7406944444444442,0.33986648996871127,2
air-defense-115,air_defense,1,0.5235387578070916,0.1278449687716336,0.85,0.0,0.0,1
air-defense-115,air_defense,2,0.5235387578070916,0.1278449687716336,0.85,0.75,0.07610412677630204,1
air-defense-115,air_defense,4,0.5193371445647779,0.14465142174088838,0.665,0.7055555555555556,0.12468367417985092,2
air-defense-115,air_defense,8,0.48462542775374357,0.28349828898502577,0.665,0.6952380952380953,0.2635305414239883,4
air-defense-115,air_defense,16,0.48266184543772106,0.29135261824911574,0.85,0.6827777777777776,0.27138487068807826,1
humanitarian-evacuation-116,urban_humanitarian,1,0.4831525193236111,0.2663899227055556,1.0,0.0,0.0,1
humanitarian-evacuation-116,urban_humanitarian,2,0.4831525193236111,0.2663899227055556,1.0,0.6,0.22278202120288193,1
humanitarian-evacuation-116,urban_humanitarian,4,0.4831525193236111,0.2663899227055556,1.0,0.688888888888889,0.22278202120288193,1
humanitarian-evacuation-116,urban_humanitarian,8,0.4619498737478279,0.35120050500868827,0.9550000000000001,0.6285714285714287,0.3075926035060146,2
humanitarian-evacuation-116,urban_humanitarian,16,0.4619498737478279,0.35120050500868827,0.9550000000000001,0.5824999999999999,0.34568833332408416,2
urban-115,urban,1,0.530449825960215,0.06305956497949551,0.73,0.0,0.0,1
urban-115,urban,2,0.48557862164827237,0.242544382227266,0.77,0.6666666666666667,0.1794848172477705,1
urban-115,urban,4,0.48557862164827237,0.242544382227266,0.77,0.7777777777777778,0.1794848172477705,2
urban-115,urban,8,0.471882985111992,0.2973269283723873,0.725,0.8035714285714287,0.30033986200547313,3
urban-115,urban,16,0.471882985111992,0.2973269283723873,0.725,0.7916666666666672,0.30033986200547313,3
maritime-116,maritime,1,0.497581617163998,0.24167353134400796,0.5800000000000001,0.0,0.0,1
maritime-116,maritime,2,0.497581617163998,0.24167353134400796,0.5800000000000001,0.6666666666666667,0.1853856759248116,2
maritime-116,maritime,4,0.497581617163998,0.24167353134400796,0.5800000000000001,0.75,0.20719010700884455,3
maritime-116,maritime,8,0.497581617163998,0.24167353134400796,0.5800000000000001,0.7339285714285715,0.22008313783906552,3
maritime-116,maritime,16,0.47368594653075397,0.3372562138769842,0.62,0.7130555555555552,0.31566582037204177,4
multi-domain-117,mixed,1,0.5052566125874142,0.24167353134400796,0.5800000000000001,0.0,0.0,1
multi-domain-117,mixed,2,0.5052566125874142,0.24167353134400796,0.5800000000000001,0.6666666666666667,0.1853856759248116,2
multi-domain-117,mixed,4,0.5052566125874142,0.24167353134400796,0.5800000000000001,0.75,0.20719010700884455,3
multi-domain-117,mixed,8,0.5052566125874142,0.24167353134400796,0.5800000000000001,0.7339285714285715,0.22008313783906552,3
multi-domain-117,mixed,16,0.4813609419541702,0.3372562138769842,0.62,0.7130555555555552,0.31566582037204177,4
air-defense-118,air_defense,1,0.5006336010913037,0.21946559563478535,0.625,0.0,0.0,1
air-defense-118,air_defense,2,0.5006336010913037,0.21946559563478535,0.625,0.6666666666666667,0.13402537028420983,2
air-defense-118,air_defense,4,0.4915366062918705,0.25585357483251797,0.805,0.7611111111111111,0.25886650846560383,2
air-defense-118,air_defense,8,0.4915366062918705,0.25585357483251797,0.805,0.6684523809523809,0.26897422272668914,2
air-defense-118,air_defense,16,0.4915366062918705,0.25585357483251797,0.805,0.648333333333333,0.26897422272668914,2
humanitarian-evacuation-119,urban_humanitarian,1,0.4891139044431835,0.242544382227266,1.0,0.0,0.0,1
humanitarian-evacuation-119,urban_humanitarian,2,0.4891139044431835,0.242544382227266,1.0,0.6666666666666667,0.12693609347361173,1
humanitarian-evacuation-119,urban_humanitarian,4,0.47541826790690317,0.2973269283723873,0.73,0.6666666666666666,0.18171863961873302,2
humanitarian-evacuation-119,urban_humanitarian,8,0.47541826790690317,0.2973269283723873,0.73,0.6351190476190478,0.1872953985315487,2
humanitarian-evacuation-119,urban_humanitarian,16,0.4604032261976065,0.357387095209574,1.0,0.6140277777777778,0.314643041261564,1
urban-118,urban,1,0.5106069619629776,0.11636788405893685,0.59,0.0,0.0,1
urban-118,urban,2,0.4722986867994448,0.2696009847130678,0.59,0.5,0.15323310065413098,1
urban-118,urban,4,0.46154660686274473,0.31260930445986823,0.59,0.8611111111111112,0.2913530001177786,1
urban-118,urban,8,0.46154660686274473,0.31260930445986823,0.59,0.7678571428571429,0.2913530001177786,3
urban-118,urban,16,0.46154660686274473,0.31260930445986823,0.59,0.7750000000000005,0.33492042916964293,3
maritime-119,maritime,1,0.493541374992182,0.257834500031272,0.485,0.0,0.0,1
maritime-119,maritime,2,0.493541374992182,0.257834500031272,0.485,0.8,0.07515025217423024,2
maritime-119,maritime,4,0.493541374992182,0.257834500031272,0.485,0.7722222222222221,0.14042800784727982,3
maritime-119,maritime,8,0.493541374992182,0.257834500031272,0.485,0.6529761904761904,0.18563610045217732,3
maritime-119,maritime,16,0.4877799020959885,0.28088039161604594,0.76,0.7037500000000001,0.27120804261456744,2
multi-domain-120,mixed,1,0.5017243667257122,0.257834500031272,0.485,0.0,0.0,1
multi-domain-120,mixed,2,0.5017243667257122,0.257834500031272,0.485,0.8,0.07515025217423024,2
multi-domain-120,mixed,4,0.5017243667257122,0.257834500031272,0.485,0.7722222222222221,0.14042800784727982,3
multi-domain-120,mixed,8,0.5017243667257122,0.257834500031272,0.485,0.6529761904761904,0.18563610045217732,3
multi-domain-120,mixed,16,0.4959628938295187,0.28088039161604594,0.76,0.7037500000000001,0.27120804261456744,2
air-defense-121,air_defense,1,0.5034353692497344,0.2082585230010625,0.67,0.0,0.0,1
air-defense-121,air_defense,2,0.5034353692497344,0.2082585230010625,0.67,0.5,0.09972054058789658,2
air-defense-121,air_defense,4,0.4718563518973671,0.3345745924105316,0.665,0.5916666666666667,0.2623761928314369,3
air-defense-121,air_defense,8,0.4718563518973671,0.3345745924105316,0.665,0.5845238095238096,0.30234912619564136,3
air-defense-121,air_defense,16,0.4718563518973671,0.3345745924105316,0.665,0.6009722222222221,0.330244977302749,3
humanitarian-evacuation-122,urban_humanitarian,1,0.48234975382173306,0.2696009847130678,0.635,0.0,0.0,1
humanitarian-evacuation-122,urban_humanitarian,2,0.48234975382173306,0.2696009847130678,0.635,0.6,0.18776897543458942,2
humanitarian-evacuation-122,urban_humanitarian,4,0.47307002615821253,0.30671989536714994,1.0,0.5888888888888889,0.22488788608867155,1
humanitarian-evacuation-122,urban_humanitarian,8,0.47307002615821253,0.30671989536714994,1.0,0.6238095238095239,0.32903102007692464,1
humanitarian-evacuation-122,urban_humanitarian,16,0.461214371795006,0.354142512819976,0.9550000000000001,0.6009722222222221,0.3764536375297507,2
urban-121,urban,1,0.5036142616566364,0.16204971535134371,0.59,0.0,0.0,1
urban-121,urban,2,0.5036142616566364,0.16204971535134371,0.59,0.5,0.07185542984020626,1
urban-121,urban,4,0.46724067462377156,0.30754406348280283,0.77,0.8055555555555557,0.21734977797166538,1
urban-121,urban,8,0.46724067462377156,0.30754406348280283,0.77,0.767857142857143,0.3022897371800536,1
urban-121,urban,16,0.46724067462377156,0.30754406348280283,0.77,0.7847222222222225,0.3022897371800536,1
maritime-122,maritime,1,0.4978886173028883,0.24044553078844672,0.44,0.0,0.0,1
maritime-122,maritime,2,0.46727870958271267,0.3628851616691492,0.805,0.5,0.12243963088070248,1
maritime-122,maritime,4,0.46727870958271267,0.3628851616691492,0.805,0.763888888888889,0.30449458221371783,1
maritime-122,maritime,8,0.46727870958271267,0.3628851616691492,0.805,0.7315476190476192,0.30449458221371783,1
maritime-122,maritime,16,0.46727870958271267,0.3628851616691492,0.805,0.7024999999999992,0.4100351895736567,1
multi-domain-123,mixed,1,0.4986499392756598,0.24044553078844672,0.44,0.0,0.0,1
multi-domain-123,mixed,2,0.4680400315554842,0.3628851616691492,0.805,0.5,0.12243963088070248,1
multi-domain-123,mixed,4,0.4680400315554842,0.3628851616691492,0.805,0.763888888888889,0.30449458221371783,1
multi-domain-123,mixed,8,0.4680400315554842,0.3628851616691492,0.805,0.7315476190476192,0.30449458221371783,1
multi-domain-123,mixed,16,0.4680400315554842,0.3628851616691492,0.805,0.7024999999999992,0.4100351895736567,1
air-defense-124,air_defense,1,0.559667088973934,-0.016668355895736127,0.665,0.0,0.0,1
air-defense-124,air_defense,2,0.4809627769313459,0.29814889227461644,0.665,0.6,0.31481724817035256,1
air-defense-124,air_defense,4,0.4809627769313459,0.29814889227461644,0.665,0.4166666666666667,0.31481724817035256,2
air-defense-124,air_defense,8,0.4809627769313459,0.29814889227461644,0.665,0.5928571428571429,0.31481724817035256,3
air-defense-124,air_defense,16,0.4801735085180646,0.30130596592774145,0.625,0.6379166666666666,0.3463042256025275,4
humanitarian-evacuation-125,urban_humanitarian,1,0.47954356896410844,0.2808257241435664,1.0,0.0,0.0,1
humanitarian-evacuation-125,urban_humanitarian,2,0.47954356896410844,0.2808257241435664,1.0,0.6666666666666667,0.09318636067657515,1
humanitarian-evacuation-125,urban_humanitarian,4,0.47954356896410844,0.2808257241435664,1.0,0.6722222222222222,0.20478343940935162,1
humanitarian-evacuation-125,urban_humanitarian,8,0.47954356896410844,0.2808257241435664,1.0,0.5279761904761905,0.20478343940935162,1
humanitarian-evacuation-125,urban_humanitarian,16,0.4696688752725976,0.3203244989096097,0.815,0.5295833333333333,0.27355266261068134,2
urban-124,urban,1,0.5283949094495373,0.02413269853470809,0.545,0.0,0.0,1
urban-124,urban,2,0.4672434194700898,0.26873865845249795,0.73,1.0,0.24460595991778986,1
urban-124,urban,4,0.4672434194700898,0.26873865845249795,0.73,0.9444444444444445,0.24460595991778986,2
urban-124,urban,8,0.45985871074047174,0.29827749337097026,0.725,0.8511904761904764,0.2741447948362622,4
urban-124,urban,16,0.449853638556135,0.3382977821083172,0.73,0.8013888888888893,0.3363812093917085,3
maritime-125,maritime,1,0.5148412709490842,0.17263491620366328,0.44,0.0,0.0,1
maritime-125,maritime,2,0.49207321075331123,0.263707156986755,0.805,0.6666666666666667,0.09107224078309173,1
maritime-125,maritime,4,0.49207321075331123,0.263707156986755,0.805,0.6944444444444445,0.12247117531824137,1
maritime-125,maritime,8,0.491314908971798,0.2667403641128079,0.805,0.7494047619047619,0.20943932450514752,1
maritime-125,maritime,16,0.4891888407050811,0.27524463717967557,0.805,0.7055555555555553,0.2432828340645695,1
multi-domain-126,mixed,1,0.528175860242456,0.17263491620366328,0.44,0.0,0.0,1
multi-domain-126,mixed,2,0.5054078000466831,0.263707156986755,0.805,0.6666666666666667,0.09107224078309173,1
multi-domain-126,mixed,4,0.5054078000466831,0.263707156986755,0.805,0.6944444444444445,0.12247117531824137,1
multi-domain-126,mixed,8,0.5046494982651698,0.2667403641128079,0.805,0.7494047619047619,0.20943932450514752,1
multi-domain-126,mixed,16,0.5025234299984529,0.27524463717967557,0.805,0.7055555555555553,0.2432828340645695,1
air-defense-127,air_defense,1,0.4858103608770966,0.2787585564916135,0.805,0.0,0.0,1
air-defense-127,air_defense,2,0.4858103608770966,0.2787585564916135,0.805,0.8,0.17195494067946404,1
air-defense-127,air_defense,4,0.4858103608770966,0.2787585564916135,0.805,0.6,0.18810605377878759,1
air-defense-127,air_defense,8,0.4858103608770966,0.2787585564916135,0.805,0.6130952380952381,0.21738150629385333,2
air-defense-127,air_defense,16,0.4709255544729207,0.3382977821083172,0.85,0.6413888888888888,0.276920731910557,1
humanitarian-evacuation-128,urban_humanitarian,1,0.4819442375060252,0.2712230499758992,1.0,0.0,0.0,1
humanitarian-evacuation-128,urban_humanitarian,2,0.4819442375060252,0.2712230499758992,1.0,0.6,0.12104061831438345,1
humanitarian-evacuation-128,urban_humanitarian,4,0.4819442375060252,0.2712230499758992,1.0,0.5305555555555556,0.25548167437658753,1
humanitarian-evacuation-128,urban_humanitarian,8,0.47876460800591913,0.28394156797632353,1.0,0.5035714285714287,0.26820019237701187,1
humanitarian-evacuation-128,urban_humanitarian,16,0.47480210206819196,0.2997915917272323,0.9550000000000001,0.5020833333333331,0.3197075678551192,2
urban-127,urban,1,0.5652842801303103,0.051354902059935065,0.77,0.0,0.0,1
urban-127,urban,2,0.5066838989036466,0.28575642696658987,0.77,1.0,0.2344015249066548,1
urban-127,urban,4,0.5066838989036466,0.28575642696658987,0.77,0.8611111111111112,0.2636279332465829,2
urban-127,urban,8,0.5004257741072968,0.31078892615198905,0.725,0.8392857142857142,0.2886604324319821,3
urban-127,urban,16,0.5004257741072968,0.31078892615198905,0.725,0.793055555555556,0.2886604324319821,3
maritime-128,maritime,1,0.5398563280889085,0.072574687644366,0.805,0.0,0.0,1
maritime-128,maritime,2,0.49261055056692205,0.26155779773231175,0.805,0.75,0.18898311008794574,1
maritime-128,maritime,4,0.49261055056692205,0.26155779773231175,0.805,0.6944444444444445,0.18898311008794574,1
maritime-128,maritime,8,0.49261055056692205,0.26155779773231175,0.805,0.6458333333333334,0.20097221226973727,1
maritime-128,maritime,16,0.47515196787784475,0.331392128488621,0.665,0.6559722222222221,0.2708065430260465,2
multi-domain-129,mixed,1,0.5536491153263426,0.072574687644366,0.805,0.0,0.0,1
multi-domain-129,mixed,2,0.5064033378043562,0.26155779773231175,0.805,0.75,0.18898311008794574,1
multi-domain-129,mixed,4,0.5064033378043562,0.26155779773231175,0.805,0.6944444444444445,0.18898311008794574,1
multi-domain-129,mixed,8,0.5064033378043562,0.26155779773231175,0.805,0.6458333333333334,0.20097221226973727,1
multi-domain-129,mixed,16,0.48894475511527885,0.331392128488621,0.665,0.6559722222222221,0.2708065430260465,2
air-defense-130,air_defense,1,0.5683943650344645,-0.0515774601378579,0.85,0.0,0.0,1
air-defense-130,air_defense,2,0.5102277403786224,0.1810890384855106,0.805,0.8333333333333334,0.23266649862336852,2
air-defense-130,air_defense,4,0.5056698548173153,0.19932058073073872,0.62,0.6833333333333335,0.25089804086859663,3
air-defense-130,air_defense,8,0.49996457343467227,0.222141706261311,0.76,0.6297619047619049,0.2737191663991689,3
air-defense-130,air_defense,16,0.4781209234468486,0.30951630621260573,0.805,0.6030555555555553,0.36109376635046364,2
humanitarian-evacuation-131,urban_humanitarian,1,0.4783108932583525,0.28575642696658987,1.0,0.0,0.0,1
humanitarian-evacuation-131,urban_humanitarian,2,0.4783108932583525,0.28575642696658987,1.0,0.8333333333333334,0.20780797650971303,1
humanitarian-evacuation-131,urban_humanitarian,4,0.4720527684620027,0.31078892615198905,0.815,0.611111111111111,0.2328404756951122,2
humanitarian-evacuation-131,urban_humanitarian,8,0.4720527684620027,0.31078892615198905,0.815,0.5904761904761904,0.2328404756951122,2
humanitarian-evacuation-131,urban_humanitarian,16,0.4708523001422414,0.31559079943103446,1.0,0.5719444444444445,0.2679182096900053,1
